Better Item,Worse Item,Date
0x0003f,0x03015,1598118336.7975652
0x07010,0x03035,1598118340.5255272
0x03018,0x03026,1598118343.660611
0x00030,0x07034,1598118353.7576087
0x03037,0x07023,1598118413.197376
0x0300c,0x03033,1598118418.9093604
0x0701b,0x03047,1598118448.1251998
0x03007,0x07085,1598118454.4368687
0x0305d,0x07099,1598118465.924121
0x0d036,0x00017,1598118483.5497804
0x07022,0x00031,1598118571.2511473
0x070c3,0x07043,1598118576.020341
0x0002a,0x00024,1598118598.589958
0x0d01d,0x0d009,1598118605.949908
0x070b0,0x03026,1598118621.3095248
0x07032,0x070c8,1598118757.3812652
0x0d05a,0x03037,1598118817.003951
0x070a3,0x00014,1598118820.068215
0x070b5,0x07040,1598118879.4771047
0x0d03e,0x0001f,1598118881.9982054
0x00002,0x07054,1598118953.7728007
0x0d03a,0x00039,1598118956.3328483
0x0304c,0x0002c,1598118963.1242657
0x0d055,0x070c3,1598118987.4528372
0x07081,0x0d045,1598118993.596947
0x0709a,0x00045,1598118995.5490694
0x0704b,0x07064,1598119001.4047475
0x0300a,0x07046,1598119010.492653
0x00001,0x03044,1598119023.4677985
0x0708a,0x0304e,1598119038.188497
0x0303c,0x0704f,1598119210.8124022
0x070b1,0x03025,1598119220.4932714
0x0d044,0x00042,1598119227.5724359
0x07065,0x070be,1598119268.548023
0x07092,0x07064,1598119272.771161
0x03040,0x03052,1598119283.8680954
0x03014,0x0d033,1598119332.4206998
0x0304a,0x070a1,1598119338.6520147
0x0d040,0x0d00b,1598119344.5632653
0x07056,0x0d01c,1598119397.4999397
0x0000c,0x0707d,1598119404.5792556
0x0300d,0x070bd,1598119407.8127294
0x0303c,0x0303d,1598119428.4274328
0x00025,0x03042,1598119431.1079142
0x00037,0x070b2,1598119435.2826803
0x0305c,0x070cb,1598119466.8279812
0x07092,0x0d006,1598119484.5956097
0x00018,0x07033,1598119488.1481016
0x07061,0x0d045,1598119502.0442195
0x0d035,0x0703f,1598119609.7156875
0x00032,0x0703a,1598119612.2507634
0x07069,0x0302c,1598119950.5706112
0x0302e,0x0000a,1598119958.2112472
0x0d001,0x0706e,1598119963.0191107
0x07021,0x00017,1598119970.1711972
0x00002,0x07047,1598120002.242084
0x0d01a,0x070cd,1598120016.2744231
0x03009,0x03013,1598120024.0110126
0x0003f,0x07095,1598120047.2674384
0x03055,0x0708c,1598120082.4116237
0x03004,0x0304a,1598120094.4029927
0x03018,0x07060,1598120102.9628508
0x0701a,0x07063,1598120110.0908427
0x0d016,0x07080,1598120113.1309376
0x0001d,0x0d031,1598120114.9154315
0x0d057,0x070bb,1598120123.9943495
0x03005,0x00012,1598120250.0836267
0x0002b,0x07056,1598120260.4586642
0x00025,0x0701d,1598120399.058687
0x0d048,0x0d02d,1598125954.461057
0x0d024,0x0d00d,1598125976.700703
0x0d01d,0x0d021,1598126027.773325
0x03045,0x00007,1598132897.2667494
0x0705b,0x07081,1598132900.4431937
0x0700c,0x07055,1598132904.9392955
0x0d040,0x0d007,1598132908.8352816
0x0303a,0x070ae,1598132911.3963132
0x0d05d,0x0300b,1598132923.163788
0x07088,0x0d03b,1598132935.106186
0x07029,0x07004,1598132958.1069982
0x07049,0x070bd,1598133020.331001
0x0d059,0x00012,1598133023.4981318
0x0701f,0x07090,1598133025.989383
0x0d02a,0x0002f,1598133028.386908
0x0704e,0x0d002,1598133038.6104558
0x0d01b,0x07031,1598133043.0343328
0x03015,0x0305d,1598133046.1630356
0x0707e,0x070ba,1598133052.3630564
0x0d031,0x03057,1598133109.9626465
0x03028,0x07040,1598133143.7698767
0x07019,0x07048,1598133216.5462186
0x0d012,0x0d052,1598133222.7786314
0x0301d,0x0d00c,1598133228.9860997
0x0305b,0x0000a,1598133236.0341144
0x00032,0x0d015,1598133238.44484
0x07017,0x07099,1598133253.146095
0x070b2,0x00040,1598133279.738431
0x0702c,0x07068,1598133286.1615007
0x0d003,0x03002,1598133290.7784448
0x07022,0x07037,1598133295.1863241
0x0d042,0x03046,1598133326.7860296
0x070cd,0x03020,1598133448.4894857
0x070c9,0x00034,1598133677.0507817
0x0d041,0x0305b,1598133682.9945056
0x0d013,0x00029,1598133714.3544695
0x03030,0x00005,1598133776.7537045
0x07003,0x070bb,1598134606.1928236
0x0302b,0x03017,1598134608.9609175
0x07089,0x0d033,1598137185.1812215
0x0d057,0x07028,1598137227.1814938
0x0d023,0x070aa,1598137321.6606731
0x0000d,0x0003e,1598137537.9960308
0x0d02b,0x070ba,1598137645.788289
0x070b0,0x03035,1598137703.3153982
0x03004,0x07090,1598137807.524798
0x0d050,0x0d005,1598137955.971546
0x0304d,0x0000a,1598138098.884161
0x00001,0x00028,1598138174.3711565
0x0d01b,0x0d006,1598138408.979412
0x070bf,0x00026,1598138488.2429767
0x0304b,0x07051,1598138626.9225142
0x0305b,0x03025,1598138681.810837
0x0305d,0x07033,1598138749.01873
0x07052,0x03030,1598139078.08179
0x03003,0x0d052,1598139141.993226
0x0d05e,0x07023,1598139280.009801
0x0305b,0x070b1,1598139408.3220916
0x0702d,0x00005,1598139460.209385
0x07020,0x070c7,1598139533.3300807
0x00010,0x03005,1598139698.7613149
0x07081,0x0d05a,1598139789.1608691
0x0001d,0x03025,1598139833.7850122
0x07030,0x07084,1598156134.3973818
0x00018,0x07074,1598156221.9970598
0x07086,0x03050,1598156316.6851366
0x00001,0x07098,1598156341.3655074
0x07075,0x0702f,1598156478.2363176
0x07005,0x0301a,1598156580.845822
0x0707b,0x0305a,1598156623.8524091
0x07061,0x0000e,1598156679.0624
0x0704a,0x07022,1598156803.388552
0x0304b,0x07020,1598165402.0866354
0x0305d,0x07043,1598165439.9265056
0x07061,0x03018,1598165470.8306127
0x0d04e,0x0d018,1598165641.6795447
0x07030,0x0301f,1598165969.1513948
0x00018,0x03052,1598166852.5641885
0x07070,0x070a1,1598166933.6857698
0x00018,0x070c9,1598166973.6205454
0x0003c,0x00006,1598167046.8125615
0x00039,0x0001e,1598167057.5321994
0x00025,0x00044,1598167069.172954
0x00049,0x00040,1598167074.6796303
0x00010,0x00014,1598167078.9416976
0x0000f,0x00016,1598167081.5604804
0x00027,0x00033,1598167083.523975
0x00035,0x00001,1598167091.3732202
0x00030,0x0001b,1598167098.4205034
0x00037,0x00035,1598167133.3967936
0x00032,0x00041,1598167137.901349
0x00020,0x00008,1598167166.2219892
0x00030,0x0004a,1598167168.6298366
0x00043,0x00019,1598167213.052704
0x00018,0x00003,1598167216.5088902
0x00009,0x00023,1598167221.7003458
0x0000d,0x0002c,1598167224.3965673
0x00007,0x0003a,1598167227.564154
0x0001d,0x00012,1598167229.785305
0x0000d,0x00010,1598167239.415349
0x00034,0x00014,1598167293.0760021
0x0001e,0x0001c,1598167354.7401152
0x00016,0x0003c,1598167359.0686302
0x0000c,0x0002c,1598167361.4864423
0x0000f,0x00023,1598167415.5819883
0x00048,0x0002c,1598167417.6553645
0x0002e,0x00014,1598167419.0141196
0x00004,0x0001e,1598167430.8861127
0x0000f,0x0000b,1598167434.3483224
0x00033,0x0000e,1598167477.843916
0x00049,0x00022,1598167482.4452894
0x0003b,0x00039,1598167491.8608992
0x0002e,0x0002a,1598167494.4513218
0x00040,0x00045,1598167498.124898
0x0003f,0x0002f,1598167501.2392573
0x0000d,0x00028,1598167503.0781317
0x050ee,0x0505e,1598167570.470449
0x05084,0x050e0,1598167629.140593
0x050d4,0x050b8,1598167664.699423
0x0507b,0x05012,1598167668.8759012
0x050ed,0x05087,1598167732.8194637
0x0500d,0x0506b,1598167739.0596213
0x05073,0x05098,1598167773.8034549
0x050f6,0x050ae,1598167779.643472
0x050db,0x050d0,1598167790.1877193
0x050fc,0x05092,1598167795.0190551
0x05030,0x0501f,1598167803.2325428
0x05092,0x05089,1598167808.8364744
0x050e4,0x05090,1598167869.1549697
0x05092,0x05009,1598167873.3392558
0x050ce,0x0508a,1598167886.6301804
0x0507f,0x050a3,1598167952.8912745
0x050d4,0x0504e,1598167960.0186899
0x05044,0x05094,1598167981.7558212
0x0501a,0x0505d,1598167985.7168367
0x050f6,0x05062,1598168021.5080028
0x05086,0x050e4,1598168025.939293
0x050e6,0x0507f,1598168027.9958622
0x0501b,0x05100,1598168031.467443
0x050a9,0x0505f,1598168037.8752522
0x0503b,0x050c0,1598168041.5826845
0x05036,0x0509c,1598168044.2990198
0x050e4,0x050d5,1598168164.970105
0x050fd,0x05067,1598168168.219985
0x0502d,0x05004,1598168204.5238302
0x0500b,0x05064,1598168212.980362
0x050ed,0x0508b,1598168271.3317926
0x050ca,0x05017,1598168279.8910549
0x0501d,0x05014,1598168306.6116233
0x050ab,0x0503a,1598168309.0114112
0x05012,0x050bf,1598168323.1090727
0x050c9,0x05103,1598168338.3461928
0x05096,0x0506f,1598168380.9226463
0x0507d,0x050a2,1598168413.3965967
0x050dd,0x050f4,1598168416.850837
0x05083,0x05059,1598168420.858559
0x050cf,0x050ac,1598168470.0193708
0x050ff,0x05050,1598168489.6826677
0x050a4,0x0505f,1598168495.3634021
0x0504d,0x050a3,1598168502.5150554
0x050ab,0x050f0,1598168504.5793996
0x05015,0x05030,1598168511.3468204
0x05050,0x050dc,1598168516.2507825
0x05055,0x050ca,1598168519.3615465
0x050fd,0x05033,1598168527.6105263
0x05067,0x050c0,1598168534.114182
0x0506e,0x050b5,1598168557.0028794
0x050a2,0x050f8,1598168560.0680883
0x05086,0x05040,1598168562.6098797
0x05038,0x05064,1598168566.291622
0x050cd,0x05057,1598168577.8979046
0x050fc,0x050e0,1598168580.8274236
0x05029,0x0505a,1598168585.9319067
0x05085,0x0505a,1598168592.3223488
0x050f5,0x0508b,1598168595.8109522
0x05034,0x050de,1598168603.3700342
0x0501e,0x0507b,1598168621.9942398
0x050c5,0x050be,1598168638.26186
0x0303c,0x070ca,1598215614.5981948
0x07088,0x070bf,1598215738.7254364
0x0003b,0x07092,1598215931.2279081
0x0305a,0x00028,1598215936.4851313
0x07011,0x03028,1598215986.364587
0x0003f,0x0d003,1598216034.3157496
0x0d01b,0x0700a,1598216175.6999152
0x0d01d,0x07041,1598216214.6364472
0x07096,0x070c1,1598216621.966235
0x07002,0x03017,1598216691.9170647
0x0705d,0x0301b,1598216744.6776075
0x07009,0x07095,1598216821.6537724
0x070ba,0x070cb,1598216839.1329944
0x00002,0x07051,1598217088.1484113
0x03041,0x07015,1598217173.2608914
0x00001,0x0304e,1598217231.044183
0x0000b,0x070ac,1598217273.7324193
0x03039,0x070a1,1598217302.0284872
0x00037,0x07057,1598217956.4595716
0x07080,0x07091,1598218006.979413
0x03016,0x0002f,1598218054.1635277
0x00021,0x00019,1598219800.0492141
0x0003d,0x00026,1598220059.2408595
0x07097,0x07007,1598220106.8795424
0x03014,0x03050,1598220412.9755597
0x07034,0x070a0,1598220591.6247704
0x070c9,0x03059,1598220615.0480514
0x0707f,0x00034,1598221105.734998
0x07079,0x0d044,1598221330.8613338
0x07061,0x0703e,1598221345.582832
0x0709b,0x07081,1598221383.8141718
0x0d007,0x0d013,1598221413.7010098
0x0d038,0x0d036,1598221539.5337238
0x07092,0x0001f,1598221583.8545954
0x0302c,0x0003e,1598221608.413311
0x00011,0x0709d,1598221652.2386277
0x03013,0x0d05a,1598221693.0856397
0x03014,0x0701e,1598221770.5573642
0x0d044,0x00046,1598224041.586699
0x07017,0x00028,1598224790.8809006
0x00047,0x07055,1598224854.608629
0x0706c,0x07068,1598225347.655755
0x03005,0x03022,1598225382.4164045
0x07021,0x0d046,1598225675.3838258
0x03020,0x070c5,1598226105.1441026
0x0d042,0x00029,1598304718.7200246
0x0d01b,0x0707d,1598304742.623658
0x0002d,0x07066,1598304830.5070417
0x0d008,0x07027,1598304913.5837593
0x03023,0x03043,1598304986.0958748
0x0705f,0x07020,1598305088.7992358
0x0300b,0x03031,1598305150.336075
0x0707c,0x0d043,1598305682.985549
0x0d041,0x07017,1598305932.8859587
0x00002,0x0708a,1598306045.7174945
0x03047,0x0d036,1598306065.5577207
0x03019,0x070ca,1598306132.3413696
0x0d031,0x070ad,1598306182.9813712
0x0d01e,0x03013,1598383216.7645202
0x0301d,0x0d013,1598383221.6370623
0x0d040,0x0d038,1598383239.4056005
0x0d051,0x070ac,1598383282.5402043
0x0302e,0x0d002,1598383285.5090759
0x0d01a,0x03031,1598383301.277147
0x0704a,0x03047,1598383383.7486112
0x0003b,0x00017,1598383388.5889301
0x0708f,0x07091,1598383468.4287372
0x0d050,0x070a3,1598383478.2200658
0x0d039,0x0301d,1598383602.3405616
0x03029,0x0304c,1598383619.973106
0x07085,0x00023,1598383678.4117742
0x07095,0x07033,1598383702.5381536
0x070a8,0x07076,1598383707.8649828
0x0d021,0x0703f,1598383778.7939386
0x03014,0x07007,1598383781.1067145
0x07095,0x03022,1598383788.278806
0x07017,0x03051,1598383793.3429418
0x0704c,0x07035,1598384277.2996354
0x0d00d,0x070a1,1598384287.9881754
0x07011,0x0300f,1598384317.312257
0x07002,0x0300b,1598384323.6190264
0x070a9,0x0707c,1598384342.555705
0x070a8,0x070a4,1598414728.3832412
0x07009,0x0301d,1598414948.015759
0x0709e,0x070a6,1598415000.4441814
0x0303f,0x070c9,1598415108.9348676
0x0700f,0x070ca,1598415245.7262754
0x00008,0x07015,1598415337.031532
0x070bc,0x03044,1598415479.3120642
0x00027,0x0704a,1598415492.3983798
0x0002d,0x03018,1598415499.542924
0x0705e,0x0305c,1598415581.0702262
0x03022,0x03038,1598415629.1775906
0x0000f,0x07084,1598415825.1432397
0x070be,0x03046,1598415866.8708322
0x03020,0x0302b,1598420620.1114855
0x0701f,0x03029,1598420681.0632706
0x03040,0x0707d,1598421437.7026212
0x0300e,0x00017,1598421621.7737622
0x07093,0x07078,1598421743.5420666
0x0709b,0x0304c,1598421761.726221
0x07070,0x07063,1598421775.5182438
0x03032,0x07085,1598422089.2373157
0x03057,0x00016,1598422233.7670596
0x00020,0x0702f,1598422242.5091095
0x0701c,0x07038,1598422285.8710213
0x03018,0x03029,1598422292.5728936
0x07012,0x0d00f,1598498688.15397
0x07018,0x00026,1598498700.1864018
0x07078,0x00017,1598498705.3138366
0x070af,0x07064,1598498709.2185202
0x03017,0x0702f,1598498711.273752
0x0301b,0x0d013,1598498714.1222503
0x070a8,0x0708d,1598498721.4416335
0x0d002,0x07088,1598498723.937836
0x03055,0x07049,1598498730.3463051
0x0302a,0x0d033,1598498739.0178761
0x0700b,0x0d051,1598498743.1217887
0x0303f,0x07091,1598498746.7220125
0x0300d,0x0300b,1598500058.6813056
0x0002d,0x0703a,1598560871.0296688
0x03039,0x070a9,1598560875.8132846
0x0705e,0x0d021,1598560942.094243
0x0701a,0x03033,1598560976.2130377
0x0001b,0x0708f,1598561182.3076797
0x03013,0x00004,1598561201.3630095
0x03017,0x03033,1598561205.3876073
0x0302b,0x00026,1598561208.9803314
0x0d059,0x07053,1598561353.7794812
0x0702e,0x0d031,1598561419.355937
0x03049,0x03025,1598561446.450894
0x0708f,0x0000e,1598561450.1389709
0x03009,0x0d007,1598561575.5018315
0x07080,0x0708a,1598561581.6962123
0x03030,0x07001,1598561703.5033824
0x0d039,0x07072,1598561782.7789505
0x07055,0x0d015,1598561843.5400343
0x0304a,0x07084,1598561861.5608613
0x07048,0x07088,1598561922.0269125
0x0d01e,0x07098,1598561951.459634
0x0d03a,0x0702b,1598562007.163755
0x07060,0x03027,1598562036.5548964
0x00025,0x070b3,1598562111.4188533
0x0002a,0x0d00b,1598562158.947245
0x0702e,0x07094,1598562182.811705
0x0002e,0x03055,1598562392.8524172
0x00025,0x0001c,1598562396.584123
0x0d001,0x0d017,1598562401.5191376
0x03038,0x03046,1598562405.658029
0x0d01e,0x07037,1598562409.172112
0x00025,0x07061,1598651002.6204102
0x07030,0x07098,1598651005.2364254
0x0d045,0x0d051,1598651069.4277258
0x0705b,0x07036,1598651184.309333
0x03022,0x0707f,1598651187.763495
0x0705e,0x0d00f,1598651191.4772418
0x0304e,0x0707d,1598651194.676439
0x00035,0x0d05d,1598651363.8603554
0x00011,0x0d03b,1598651401.8446178
0x07052,0x07040,1598651437.4602962
0x0304e,0x07063,1598651441.2845833
0x00048,0x0d015,1598651456.5714998
0x07002,0x03028,1598651477.4766603
0x0705e,0x0d002,1598651496.9176013
0x0002e,0x0d050,1598652052.044065
0x070b1,0x0703d,1598652059.7562044
0x0706b,0x0708c,1598652101.0206907
0x070b8,0x00017,1598652112.80468
0x07058,0x07036,1598652117.9800189
0x07082,0x00012,1598652119.8367743
0x0002b,0x03041,1598652123.34891
0x00035,0x0d00f,1598652125.3650546
0x07066,0x00014,1598652127.2692876
0x0705b,0x070a6,1598652129.2139893
0x03024,0x0303f,1598652136.2934573
0x0d027,0x07096,1598652148.1005733
0x0d007,0x03046,1598652154.0928733
0x03037,0x00016,1598652157.9649436
0x07027,0x00004,1598652169.0856652
0x03047,0x07026,1598652174.5808153
0x0d03a,0x0704a,1598652183.8530781
0x0305c,0x00019,1598652432.7322316
0x00049,0x0301b,1598652440.1402016
0x0d004,0x07098,1598652468.0759969
0x0705d,0x0003a,1598652470.028752
0x0707a,0x00014,1598652471.8596554
0x07017,0x07003,1598652476.1005225
0x0d010,0x03033,1598652485.63614
0x0d059,0x070a1,1598652490.5646863
0x0002e,0x0d037,1598652494.1113694
0x0d049,0x0d051,1598652517.5628774
0x0701c,0x0d046,1598652522.9481473
0x0d02f,0x00007,1598652526.0593858
0x07017,0x03005,1598652556.7799263
0x0706f,0x070ad,1598652561.5957265
0x00048,0x07097,1598679743.080399
0x03039,0x03033,1598679748.408121
0x0700a,0x07033,1598679760.116298
0x07020,0x00040,1598679773.4121175
0x0702e,0x0d005,1598679778.8690467
0x0702c,0x00005,1598679780.7222114
0x0d02a,0x0301b,1598679787.2162862
0x0706d,0x07098,1598679811.961438
0x07058,0x0300c,1598679826.8477542
0x0d057,0x03021,1598679840.832207
0x00002,0x03020,1598679847.7274387
0x00044,0x00035,1598679888.472106
0x07008,0x07044,1598679892.9074712
0x0d005,0x00040,1598679896.7522893
0x0304a,0x0701b,1598679960.7852147
0x07064,0x00028,1598679971.903911
0x0d024,0x03027,1598679974.1769612
0x0d03e,0x070b6,1598680115.039518
0x0d054,0x0d020,1598680123.322663
0x0300a,0x07090,1598680125.5841093
0x0d012,0x0d046,1598680128.087565
0x0703e,0x070ad,1598680164.2399979
0x070bc,0x0708d,1598680305.2478795
0x07069,0x0703d,1598680308.4805856
0x0303a,0x070b2,1598680323.5923603
0x02015,0x04012,1598680723.0231652
0x04018,0x03017,1598680737.4393408
0x050fb,0x04024,1598680752.8960276
0x05032,0x02051,1598680760.8472853
0x0201a,0x00014,1598680763.6626532
0x0002d,0x07051,1598680765.5189242
0x02043,0x04008,1598680800.0414555
0x0b01a,0x050d8,1598680811.2317088
0x07086,0x03016,1598680836.207595
0x0507d,0x03005,1598680842.664876
0x05044,0x02047,1598680853.840349
0x0709a,0x070bd,1598680898.5492747
0x07016,0x0506b,1598680941.1910627
0x0b009,0x0202e,1598681062.4239545
0x0507e,0x05090,1598681069.207146
0x05020,0x05068,1598681072.054281
0x0501c,0x050c7,1598681078.9591436
0x02019,0x0304f,1598681085.590803
0x0300c,0x0304c,1598681111.2024372
0x0b01f,0x04028,1598681118.6087167
0x07061,0x05052,1598681125.7992163
0x0508d,0x05085,1598681135.2316427
0x07029,0x03015,1598681140.7928557
0x0301c,0x04034,1598681162.0788252
0x07081,0x05078,1598681217.7101562
0x04036,0x0403a,1598681225.0546916
0x050d2,0x02004,1598681238.6704159
0x0002b,0x070c4,1598681242.1342738
0x050e4,0x050aa,1598681245.1977437
0x07055,0x070c9,1598681270.7427373
0x050d3,0x0503d,1598681279.9345808
0x050b5,0x05021,1598681284.9745624
0x0205d,0x0201d,1598681444.0295913
0x0503c,0x05026,1598681448.5047722
0x0502b,0x07099,1598681452.4785204
0x0702e,0x0b01b,1598681455.9049482
0x0002d,0x0506b,1598681457.711013
0x0502c,0x03026,1598681461.6868634
0x02049,0x0707c,1598681466.9993424
0x0000a,0x050e0,1598681499.9435043
0x0701a,0x050ac,1598681541.831873
0x00048,0x0400a,1598681543.9896693
0x02020,0x02047,1598681550.0862732
0x0b022,0x050b6,1598681563.4178758
0x05046,0x0200f,1598681717.126894
0x0709e,0x04026,1598681720.2698846
0x050bd,0x050fe,1598681731.78258
0x03018,0x050e7,1598681766.6293135
0x0200a,0x05035,1598681774.9905593
0x050a3,0x04043,1598681790.8298485
0x0b02a,0x05018,1598681794.1262505
0x0b01a,0x05069,1598681796.2296376
0x07067,0x05088,1598681801.9573886
0x02048,0x03049,1598681808.3985906
0x07052,0x03019,1598681813.4314756
0x0709a,0x03032,1598681888.174716
0x0502a,0x07016,1598681912.432182
0x05103,0x02020,1598681924.4928205
0x05092,0x07013,1598681968.8717544
0x05010,0x050de,1598681971.7027524
0x0704f,0x05037,1598682015.9665315
0x0704d,0x02060,1598682030.7016869
0x05073,0x0000a,1598682035.4851692
0x0203c,0x0203a,1598682068.045999
0x05018,0x05061,1598682155.7668507
0x02035,0x00047,1598682206.815711
